"OptimizationCategory","Type","AvgCompressionRatio","MedianCompressionRatio","AvgCompressionTime","AvgCompressionGainPercent","Count"
"Opt. Linearizovaný
  ","Právní dokumenty",1.42358134730179,1.4345778129404,0,-42.3521882487736,100
"Opt. Linearizovaný
  ","Próza",1.10649473920108,1.09010693037466,0,-9.73930260219655,23
"Opt. Linearizovaný
  ","Technická dokumentace",1.30070128444745,1.2805260346913,0,-30.0684616764022,96
"Opt. Linearizovaný
  ","Výzkumné články",1.33780223171409,1.28803882386526,0,-33.7743099978969,9
"Základní","Právní dokumenty",1.60470929363743,1.56965688300951,10.1522842639594,-60.4645937728385,197
"Základní","Próza",1.37692618688321,1.37306937049205,2311.11111111111,-36.5548166505869,45
"Základní","Technická dokumentace",1.52213032112008,1.52814569536424,11.049723756906,-52.2109624393092,181
"Základní","Výzkumné články",1.5106936209401,1.4866389504945,0,-51.0625443316584,18
NA,"Právní dokumenty",1.23887394381542,1.25572360820379,60,-23.8821116834911,100
NA,"Próza",1.04804794901679,1.05114235327731,11578.9473684211,-4.12288345550349,19
NA,"Technická dokumentace",1.16990295470382,1.16791744840525,139.784946236559,-16.9887663157203,93
NA,"Výzkumné články",1.21356887768151,1.19695238095238,0,-21.3514471531841,9
