FileName,Size,Type,CompressionRatio,EncodedTreeSize,TextToTreeDuration,CompressionTime,DecompressionTime,CompressedSize
tools-virtio-ringtest-README,105,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.6666666666666667,159,00:00:01.4031490,00:00:00.0023720,00:00:00.0043360,175
fs-qnx4-README,113,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.6106194690265487,161,00:00:00.9713110,00:00:00.0003920,00:00:00.0000740,182
drivers-hid-bpf-entrypoints-README,184,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5923913043478262,279,00:00:00.8187010,00:00:00.0003640,00:00:00.0000260,293
net-decnet-README,209,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4210526315789473,272,00:00:00.8238020,00:00:00.0002810,00:00:00.0000380,297
sound-oss-README.FIRST,220,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4954545454545454,300,00:00:00.7948630,00:00:00.0003590,00:00:00.0000340,329
Bent v Gough [1992] FCA 267 ; (1992) 36 FCR 204.txt,242,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.487603305785124,319,00:00:00.7999830,00:00:00.0004950,00:00:00.0000380,360
kernel-bpf-preload-iterators-README,288,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.2534722222222223,420,00:00:00.8140240,00:00:00.0045440,00:00:00.0000440,361
Documentation-serial-README.cycladesZ,293,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4027303754266212,372,00:00:00.8130900,00:00:00.0003400,00:00:00.0000320,411
arch-powerpc-boot-README,327,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.2966360856269112,447,00:00:00.7977330,00:00:00.0005500,00:00:00.0000450,424
Documentation-isdn-README.mISDN,328,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4451219512195121,426,00:00:00.8260270,00:00:00.0006660,00:00:00.0000450,474
Documentation-arm-OMAP-README,385,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.0233766233766233,500,00:00:00.8118730,00:00:00.0005730,00:00:00.0000530,394
Collector of Customs v Pozzolanic Enterprises Pty Ltd [1993] FCA 322 ; (1993) 43 FCR 280.txt,420,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.361904761904762,554,00:00:00.8072090,00:00:00.0009170,00:00:00.0000430,572
"WACF v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCA 1385 , 79 ALD 154.txt",420,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.1523809523809523,555,00:00:00.8521270,00:00:00.0014420,00:00:00.0002100,484
S157_2002 v Commonwealth (2003) 211 CLR 476.txt,443,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4243792325056432,594,00:00:00.8292420,00:00:00.0009280,00:00:00.0001790,631
arch-m68k-hp300-README.hp300,489,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.3803680981595092,666,00:00:00.8068040,00:00:00.0009810,00:00:00.0000720,675
Telstra Corporation Ltd v AAPT Ltd [1997] 38 IPR 530.txt,494,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.394736842105263,644,00:00:00.8813720,00:00:00.0016020,00:00:00.0021050,689
Bahonko v Royal Melbourne Institute of Technology [2006] FCA 1492.txt,504,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.251984126984127,639,00:00:01.1690280,00:00:00.0043920,00:00:00.0002140,631
Arthur v Vaupotic Investments Pty Ltd [2005] FCA 433.txt,528,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4526515151515151,743,00:00:01.1053050,00:00:00.0053220,00:00:00.0001860,767
Hamilhall Pty Ltd v AT Phillips Pty Ltd [1994] FCA 1446 ; (1994) 54 FCR 173.txt,551,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.1415607985480944,718,00:00:01.1216360,00:00:00.0038070,00:00:00.0001920,629
arch-m68k-ifpsp060-src-README-SRC,554,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.2978339350180506,710,00:00:01.1209670,00:00:00.0015820,00:00:00.0001920,719
Krueger Transport Equipment Pty Ltd v Glen Cameron Storage &amp; Distribution Pty Ltd [2008] FCA 803.txt,569,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.1775043936731107,734,00:00:01.1689140,00:00:00.0065490,00:00:00.0004900,670
Tobacco Institute of Australia Limited v Australian Federation of Consumer Organisations Incorporated [1992] FCA 630 ; (1992) 38 FCR 1.txt,593,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.3642495784148398,763,00:00:00.9978620,00:00:00.0017060,00:00:00.0001690,809
Rael Marcus v Sabra International Pty Ltd [1995] FCA 1059 ; (1995) 30 IPR 261.txt,607,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.3410214168039538,777,00:00:01.0213580,00:00:00.0017840,00:00:00.0001460,814
Seymour v Australian Broadcasting Commission (1977) 19 NSWLR 219.txt,612,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.3055555555555556,778,00:00:00.7545650,00:00:00.0010240,00:00:00.0000520,799
Documentation-blockdev-drbd-README.txt,612,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.3251633986928104,804,00:00:00.6989770,00:00:00.0009870,00:00:00.0000450,811
Minister for Local Government v South Sydney City Council [2002] NSWCA 288 ; 55 NSWLR 381.txt,618,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.215210355987055,771,00:00:00.7037020,00:00:00.0010080,00:00:00.0000390,751
NuLife Insurance Ltd v Norwich Union Life Australia Ltd [2005] FCA 1635.txt,619,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.3021001615508885,790,00:00:00.7062080,00:00:00.0010880,00:00:00.0000520,806
Evans Medical Ltd's Patent [1998] RPC 517.txt,631,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.2329635499207607,794,00:00:00.6987000,00:00:00.0014030,00:00:00.0000480,778
arch-parisc-math-emu-README,634,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.3564668769716088,841,00:00:00.7055450,00:00:00.0011350,00:00:00.0000790,860
