FileName,Size,Type,CompressionRatio,EncodedTreeSize,TextToTreeDuration,CompressionTime,DecompressionTime,CompressedSize
tools-virtio-ringtest-README,105,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.7523809523809524,159,00:00:00.7428300,00:00:00.0026330,00:00:00.0005790,184
fs-qnx4-README,113,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.6725663716814159,161,00:00:00.6817380,00:00:00.0000630,00:00:00.0000580,189
drivers-hid-bpf-entrypoints-README,184,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.7554347826086956,279,00:00:00.6761180,00:00:00.0001000,00:00:00.0000410,323
net-decnet-README,209,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4688995215311005,272,00:00:00.6729100,00:00:00.0000880,00:00:00.0000340,307
sound-oss-README.FIRST,220,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5818181818181818,300,00:00:00.6702080,00:00:00.0001190,00:00:00.0000520,348
Bent v Gough [1992] FCA 267 ; (1992) 36 FCR 204.txt,242,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5495867768595042,319,00:00:00.6778950,00:00:00.0000960,00:00:00.0000550,375
kernel-bpf-preload-iterators-README,288,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.7604166666666667,394,00:00:00.6748210,00:00:00.0007950,00:00:00.0002620,507
Documentation-serial-README.cycladesZ,293,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4402730375426622,372,00:00:00.6665150,00:00:00.0000920,00:00:00.0000440,422
arch-powerpc-boot-README,327,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.6116207951070336,432,00:00:00.6722120,00:00:00.0002150,00:00:00.0000610,527
Documentation-isdn-README.mISDN,328,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5121951219512195,426,00:00:00.6857540,00:00:00.0001200,00:00:00.0000660,496
Documentation-arm-OMAP-README,385,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5558441558441558,476,00:00:00.6799930,00:00:00.0002250,00:00:00.0003060,599
Collector of Customs v Pozzolanic Enterprises Pty Ltd [1993] FCA 322 ; (1993) 43 FCR 280.txt,420,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6023809523809525,524,00:00:00.6745210,00:00:00.0002660,00:00:00.0000850,673
"WACF v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCA 1385 , 79 ALD 154.txt",420,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.7142857142857142,429,00:00:00.6724330,00:00:00.0004250,00:00:00.0000820,720
S157_2002 v Commonwealth (2003) 211 CLR 476.txt,443,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5575620767494356,594,00:00:00.6770910,00:00:00.0001200,00:00:00.0000850,690
arch-m68k-hp300-README.hp300,489,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.574642126789366,666,00:00:00.6818280,00:00:00.0001240,00:00:00.0000980,770
Telstra Corporation Ltd v AAPT Ltd [1997] 38 IPR 530.txt,494,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5546558704453441,634,00:00:00.6865820,00:00:00.0002560,00:00:00.0001040,768
Bahonko v Royal Melbourne Institute of Technology [2006] FCA 1492.txt,504,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6686507936507937,562,00:00:00.6871200,00:00:00.0005810,00:00:00.0000850,841
Arthur v Vaupotic Investments Pty Ltd [2005] FCA 433.txt,528,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.7575757575757576,718,00:00:00.6977570,00:00:00.0004700,00:00:00.0001190,928
Hamilhall Pty Ltd v AT Phillips Pty Ltd [1994] FCA 1446 ; (1994) 54 FCR 173.txt,551,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,2.422867513611615,570,00:00:00.6839470,00:00:00.0010160,00:00:00.0001140,1335
arch-m68k-ifpsp060-src-README-SRC,554,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.555956678700361,688,00:00:00.6839940,00:00:00.0003500,00:00:00.0001110,862
Krueger Transport Equipment Pty Ltd v Glen Cameron Storage &amp; Distribution Pty Ltd [2008] FCA 803.txt,569,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.8611599297012302,619,00:00:00.6867350,00:00:00.0014500,00:00:00.0001000,1059
Tobacco Institute of Australia Limited v Australian Federation of Consumer Organisations Incorporated [1992] FCA 630 ; (1992) 38 FCR 1.txt,593,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5025295109612142,763,00:00:00.6911770,00:00:00.0001310,00:00:00.0001040,891
Rael Marcus v Sabra International Pty Ltd [1995] FCA 1059 ; (1995) 30 IPR 261.txt,607,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5172981878088962,777,00:00:00.6984400,00:00:00.0001600,00:00:00.0001130,921
Seymour v Australian Broadcasting Commission (1977) 19 NSWLR 219.txt,612,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.511437908496732,742,00:00:00.6863860,00:00:00.0003070,00:00:00.0001410,925
Documentation-blockdev-drbd-README.txt,612,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.4983660130718954,804,00:00:00.6779110,00:00:00.0001500,00:00:00.0000840,917
Minister for Local Government v South Sydney City Council [2002] NSWCA 288 ; 55 NSWLR 381.txt,618,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.470873786407767,761,00:00:00.7187460,00:00:00.0006130,00:00:00.0001360,909
NuLife Insurance Ltd v Norwich Union Life Australia Ltd [2005] FCA 1635.txt,619,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4830371567043619,790,00:00:00.7923860,00:00:00.0002490,00:00:00.0001590,918
Evans Medical Ltd's Patent [1998] RPC 517.txt,631,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6497622820919176,704,00:00:00.7055240,00:00:00.0017730,00:00:00.0001690,1041
arch-parisc-math-emu-README,634,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.610410094637224,817,00:00:00.7324720,00:00:00.0004900,00:00:00.0001210,1021
Deputy Commissioner of Taxation v Lanstel Pty Ltd (1996) 22 ACSR 314.txt,667,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5547226386806596,830,00:00:00.7036800,00:00:00.0003840,00:00:00.0001280,1037
Anthony Hordern and Sons Ltd v Amalgamated Clothing and Allied Trades Union of Australia [1932] HCA 9 ; (1932) 47 CLR 1.txt,674,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4718100890207715,855,00:00:00.7158990,00:00:00.0002390,00:00:00.0001200,992
Jones v Australian Competition &amp; Consumer Commission [2002] FCA 1054 ; 76 ALD 424.txt,675,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6325925925925926,790,00:00:00.6974440,00:00:00.0006520,00:00:00.0001190,1102
Advanced Building Systems Pty Ltd v Ramset Fasteners (Aust) Pty Ltd [1998] HCA 19 ; (1998) 194 CLR 171.txt,695,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.623021582733813,885,00:00:00.7273930,00:00:00.0012330,00:00:00.0001510,1128
Boughey v The Queen [1986] HCA 29 ; (1986) 161 CLR 10.txt,722,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5983379501385042,947,00:00:00.7810420,00:00:00.0004470,00:00:00.0001400,1154
TPC v Mobil Oil Australia Limited [1984] FCA 363 ; (1985) 4 FCR 296.txt,723,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4591977869986168,906,00:00:00.7074280,00:00:00.0001910,00:00:00.0001310,1055
Ting v Blanche [1993] FCA 524 ; (1993) 118 ALR 543.txt,731,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.8317373461012312,770,00:00:00.7181360,00:00:00.0023530,00:00:00.0001300,1339
Documentation-isdn-README.FAQ,733,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5879945429740792,978,00:00:00.7005810,00:00:00.0002510,00:00:00.0001200,1164
Kortz Ltd v Data Acquisition Pty Ltd [2006] FCA 1722 ; (2006) 155 FCR 556.txt,750,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.508,909,00:00:00.7862540,00:00:00.0007460,00:00:00.0001270,1131
Director of Consumer Affairs v City Finance Loans (Credit) [2005] VCAT 1989.txt,751,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.503328894806924,966,00:00:00.7329030,00:00:00.0002000,00:00:00.0001220,1129
Journal Pre-proof Atypical lung feature on chest CT in a lung adenocarcinoma cancer patient infected with COVID-19 Letters Atypical lung feature on chest CT in a lung adenocarcinoma cancer patient infected with COVID-19.txt,784,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/research_papers,1.5459183673469388,1021,00:00:00.7227650,00:00:00.0003910,00:00:00.0001380,1212
Slack v Bottoms English Solicitors [2003] FCA 1337.txt,785,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5490445859872612,992,00:00:00.7385160,00:00:00.0040710,00:00:00.0003090,1216
Australian Conservation Foundation v Forestry Commission (1988) 81 ALR 166.txt,787,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6099110546378652,972,00:00:00.7085030,00:00:00.0007290,00:00:00.0001390,1267
VUAX v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 158.txt,819,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.474969474969475,1000,00:00:00.7205230,00:00:00.0005010,00:00:00.0001250,1208
Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd (2007) 159 FCR 397.txt,843,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.538552787663108,1069,00:00:00.7145210,00:00:00.0005630,00:00:00.0001300,1297
Documentation-nios2-README,862,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5336426914153132,1071,00:00:00.7057700,00:00:00.0010430,00:00:00.0001340,1322
NBKM v Minister for Immigration and Citizenship [2007] FCA 1413.txt,875,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.592,1048,00:00:00.7115920,00:00:00.0014290,00:00:00.0001410,1393
Rickard Constructions Pty Ltd v Rickard Hails Moretti Pty Ltd [2004] NSWSC 1041 ; (2004) 220 ALR 267.txt,882,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.528344671201814,1099,00:00:00.7078610,00:00:00.0005300,00:00:00.0001480,1348
Revis v Murphy [2008] FMCA 1638.txt,885,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5197740112994351,1042,00:00:00.7000960,00:00:00.0007920,00:00:00.0001410,1345
SZMZV v Minister for Immigration and Citizenship [2009] FMCA 617.txt,904,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.532079646017699,1083,00:00:00.7061510,00:00:00.0009250,00:00:00.0001450,1385
Plaintiff S157 of 2002 v Commonwealth of Australia [2003] HCA 2 ; (2003) 211 CLR 476.txt,914,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.6805251641137855,998,00:00:00.7359070,00:00:00.0029480,00:00:00.0001500,1536
Bromley London Borough Council v Greater London Council [1983] 1 AC 768.txt,917,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.4929116684841877,1110,00:00:00.7172330,00:00:00.0007490,00:00:00.0001410,1369
R v Macfarlane; Ex parte O'Flanagan [1923] HCA 39 ; (1923) 32 CLR 518.txt,933,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5744908896034298,1163,00:00:00.7223030,00:00:00.0017310,00:00:00.0001640,1469
drivers-bcma-README,956,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5815899581589958,1221,00:00:00.7087480,00:00:00.0006730,00:00:00.0001580,1512
Building Workers' Industrial Union of Australia and Others v Odco Pty Ltd (1991) 29 FCR 104.txt,966,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.479296066252588,1170,00:00:00.7095970,00:00:00.0011990,00:00:00.0002800,1429
arch-cris-boot-compressed-README,991,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5499495459132189,1299,00:00:00.7432160,00:00:00.0003590,00:00:00.0001510,1536
Prasad v Minister for Immigration &amp; Ethnic Affairs (1985) 6 FCR 155.txt,1030,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,1.5446601941747573,1194,00:00:00.9298030,00:00:00.0041700,00:00:00.0001950,1591
tools-tracing-rtla-README.txt,1031,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.559650824442289,1217,00:00:00.7222120,00:00:00.0012870,00:00:00.0001570,1608
drivers-parisc-README.dino,1044,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.5373563218390804,1326,00:00:00.7187870,00:00:00.0010920,00:00:00.0001660,1605
