FileName,Size,Type,CompressionRatio,CompressionTime,DecompressionTime,CompressedSize
The War of the Worlds by H. G. Wells.txt,142727,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8282012130466132,00:00:44.7953600,00:00:00.0406370,117159
The Wonderful Wizard of Oz by L. Frank Baum.txt,136096,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.7731420730198484,00:00:50.7353290,00:00:00.0374130,103107
The Declaration of Independence of the United States of America by Thomas Jefferson.txt,126779,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,0.6848774014155713,00:00:36.8992440,00:00:00.0120380,86700
Cranford by Elizabeth Cleghorn Gaskell.txt,114009,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8925747863247864,00:00:35.6000560,00:00:00.0174340,100254
A Study in Scarlet by Arthur Conan Doyle.txt,109098,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.9031800193639962,00:00:30.5352130,00:00:00.0228450,96083
The Great Gatsby by F. Scott Fitzgerald.txt,102359,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.92551053223991,00:00:27.7822660,00:00:00.0213540,92092
Alice's Adventures in Wonderland by Lewis Carroll.txt,101860,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8423818757016022,00:00:32.1603170,00:00:00.0281080,82545
" Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens.txt",90889,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.919371520366173,00:00:21.5765610,00:00:00.0248000,83558
Beowulf: An Anglo-Saxon Epic Poem by J. Lesslie Hall.txt,84122,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8934630174168741,00:00:14.7955840,00:00:00.0030850,75050
Faust [part 1]. Translated Into English in the Original Metres by Goethe.txt,78280,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,1.0028424874349136,00:00:15.1592400,00:00:00.0176900,77617
