FileName,Size,Type,CompressionRatio,CompressionTime,DecompressionTime,CompressedSize
The Great Gatsby by F. Scott Fitzgerald.txt,306543,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8115738900157005,00:04:45.1474110,00:00:05.8554800,240880
The Wonderful Wizard of Oz by L. Frank Baum.txt,237253,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.7426824015849772,00:03:13.7130600,00:00:13.1022710,172436
Alice's Adventures in Wonderland by Lewis Carroll.txt,174330,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8010891868677229,00:01:54.5564370,00:00:16.1318510,134301
The Declaration of Independence of the United States of America by Thomas Jefferson.txt,126779,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,0.6867653564206269,00:00:54.3874130,00:00:11.1956400,86939
Documentation-sound-oss-README.OSS,68526,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8371275136444561,00:00:18.8765650,00:00:07.1711050,57365
The United States Constitution by United States.txt,48547,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/legal_papers,0.7914805624483043,00:00:08.6678480,00:00:04.9001090,38276
old-man-and-the-sea.txt,42349,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/prose,0.8977307610569317,00:00:08.6991030,00:00:05.3660130,38018
Documentation-filesystems-cifs-README,39196,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8953719767323196,00:00:06.5110920,00:00:04.5386980,35095
Documentation-blockdev-README.DAC960,34730,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.6112870716959401,00:00:05.2359480,00:00:04.1216480,21230
Documentation-isdn-README,29241,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.7963064295485636,00:00:03.6981210,00:00:03.3680470,23284
Documentation-isdn-README.HiSax,23589,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.9278477256348298,00:00:03.6979210,00:00:03.0642760,21887
arch-x86-math-emu-README,21575,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8569177288528389,00:00:02.5427070,00:00:02.5236210,18488
Documentation-arm-Marvell-README,17704,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.7677925892453683,00:00:01.5163590,00:00:01.3972270,13593
Documentation-isdn-README.gigaset,17128,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8907052779075199,00:00:02.0424090,00:00:02.1446180,15256
Documentation-networking-README.ipw2200,15968,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.9282940881763527,00:00:02.0212120,00:00:02.0798110,14823
drivers-comedi-drivers-ni_routing-README,12297,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.7948280068309344,00:00:01.4900170,00:00:01.3814150,9774
Documentation-networking-README.ipw2100,11180,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.9662790697674418,00:00:01.5012670,00:00:01.5365240,10803
Documentation-isdn-README.concap,10745,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8700791065611913,00:00:01.4023320,00:00:01.4139530,9349
drivers-infiniband-ulp-rtrs-README,10169,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.648244665158816,00:00:01.3467420,00:00:01.3151140,6592
tools-memory-model-litmus-tests-README,9822,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.8310934636530238,00:00:01.4072840,00:00:01.4871090,8163
Documentation-networking-README.sb1000,9783,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.0617397526321168,00:00:01.4651540,00:00:01.5675400,10387
Documentation-wimax-README.i2400m,9750,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.0012307692307691,00:00:01.3085340,00:00:01.3217690,9762
tools-net-sunrpc-xdrgen-README,8126,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.0155057839035195,00:00:01.2292340,00:00:01.1731630,8252
Documentation-isdn-README.hysdn,7945,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,0.9876651982378855,00:00:01.2015270,00:00:01.1841790,7847
Documentation-arm-README,7782,/Users/marekberan/Code/SP/tree-compression/src/ConsoleApp/bin/Debug/net9.0/Resources/Texts/technical_docs/kernel_docs,1.055769725006425,00:00:01.2067830,00:00:01.1884290,8216
